role,chapter_count,line_count,dominant_gender,dominant_feature,design_prompt,design_language,clone_ref_audio_path,clone_ref_text,clone_language,selection_notes
旁白,99,4935,,,,zh,F:\音频\旁白.MP3, 去年回老家，他在旧书摊上发现了一本线装竖版的“秦汉秘传方术纪要”，看着挺有趣的样子，觉得有助于在网上装逼，于是就买了回去,zh,
吕阳,98,1234,,,,zh,F:\音频\吕阳.wav,你好，声音测试。你对这个声音是否满意,zh,
赵旭河,24,192,男,落魄,男声，落魄少爷，性格善良，音色柔和,zh,,,zh,
刘信,16,91,男,阴戾,男声，性格阴险暴戾，小人嘴脸,zh,,,zh,
补天峰主,13,89,男,声音如雷,男声，音质清晰偏冷，音色铁血，音调中低，特色是命令感强,zh,,,zh,
飞霞仙子,13,83,女,清脆悦耳,音质干净细腻，音色明快，音调中高，特色是机灵俏皮但不做作,zh,,,zh,
阴山真人,12,72,男,青年，面相阴翳，脸色苍白,男声，音质清晰，音色冷冽，音调中，特色是笑里藏刀。,zh,,,zh,
云家老祖,11,77,男,低沉,男声，音质暗沉，音色腐朽权谋感，音调低，特色是慢语速威逼,zh,,,zh,
玉素真,11,59,女,娇媚丰腴,音质清晰柔和，音色温暖女中音，音调中低，特色是安定感。,zh,,,zh,
罗无涯,11,44,男,阴冷,男声，音质微哑，音色暗冷，音调中低，特色是低声挑衅。,zh,,,zh,
云妙清,9,41,女,,音质清甜透亮，音色少女感，音调偏高，特色是温柔鼓励、轻微笑腔。,zh,,,zh,
萧石叶,9,34,男,豪奢,男声，音质清楚，音色沉稳，音调中低，特色是关键字有力。,zh,,,zh,
陆元淳,9,34,男,惊疑不定,音质清脆有颗粒，音色轻少年，音调中高，特色是紧张时语速略快。,zh,,,zh,
陈信安,8,47,男,,音质清晰，音色偏磁少年，音调中，特色是温柔但有骨气。,zh,,,zh,
听幽祖师,8,44,男,,音质粗糙，音色诡谲，音调中低，特色是情绪突变。,zh,,,zh,
云妙真,7,45,女,清冷,音质明净，音色理智冷静，音调中，特色是情绪控制好。,zh,,,zh,
鸿运道人,7,34,男,风流倜傥,音质细节丰富，音色成熟男中音，音调中低，特色是信念感强。,zh,,,zh,
